ACOADAGAT_OLE_PALM_PALM_c,0.0
ACOADAGAT_DHA_EPA_ARA_c,0.0
ACOADAGAT_DHA_EPA_DHA_c,0.0
ACOADAGAT_OLE_EPA_DHA_c,0.0
ACOADAGAT_HDE_PALM_LNA_c,0.0
ACOADAGAT_OLE_PALM_HDE_c,0.0
ACOADAGAT_HDE_ARA_PALM_c,0.0
ACOADAGAT_HDE_HDE_GLNA_c,0.0
ACOADAGAT_HDE_HDE_LNA_c,0.0
ACOADAGAT_OLE_HDE_HDE_c,0.0
ACOADAGAT_HDE_ARA_HDE_c,0.0
ACOADAGAT_HDE_EPA_GLNA_c,0.0
ACOADAGAT_HDE_EPA_ARA_c,0.0
ACOADAGAT_HDE_EPA_DHA_c,0.0
ACOADAGAT_HDE_EPA_LNA_c,0.0
ACOADAGAT_HDE_EPA_OLE_c,0.0
ACOADAGAT_EPA_EPA_LNA_c,0.0
ACOADAGAT_EPA_EPA_GLNA_c,0.0
ACOADAGAT_EPA_EPA_DHA_c,0.0
ACOADAGAT_OLE_EPA_EPA_c,0.0
ACOADAGAT_HDE_EPA_PALM_c,0.0
ACOADAGAT_EPA_EPA_PALM_c,0.0
ACOADAGAT_HDE_EPA_HDE_c,0.0
ACOADAGAT_HDE_HDE_HDE_c,0.0
ACOADAGAT_HDE_EPA_EPA_c,0.0
ACOADAGAT_EPA_EPA_ARA_c,0.0
ACOADAGAT_EPA_EPA_EPA_c,0.0
PLDAGAT_HDE_ARA_ARA_PC_3_c,0.0
PLDAGAT_HDE_ARA_ARA_PC_7_c,0.0
PLDAGAT_OLE_HDE_OLE_PC_3_c,0.0
PLDAGAT_OLE_HDE_OLE_PC_6_c,0.0
PLDAGAT_OLE_PALM_PALM_PC_3_c,0.0
PLDAGAT_OLE_PALM_PALM_PC_6_c,0.0
PLDAGAT_DHA_EPA_ARA_PC_3_c,0.0
PLDAGAT_DHA_EPA_ARA_PC_7_c,0.0
PLDAGAT_DHA_EPA_DHA_PC_3_c,0.0
PLDAGAT_DHA_EPA_DHA_PC_6_c,0.0
PLDAGAT_OLE_EPA_DHA_PC_3_c,0.0
PLDAGAT_OLE_EPA_DHA_PC_6_c,0.0
PLDAGAT_HDE_PALM_LNA_PC_3_c,0.0
PLDAGAT_HDE_PALM_LNA_PC_5_c,0.0
PLDAGAT_HDE_PALM_LNA_PC_7_c,0.0
PLDAGAT_OLE_PALM_HDE_PC_3_c,0.0
PLDAGAT_OLE_PALM_HDE_PC_6_c,0.0
PLDAGAT_HDE_ARA_PALM_PC_3_c,0.0
PLDAGAT_HDE_ARA_PALM_PC_6_c,0.0
PLDAGAT_HDE_HDE_GLNA_PC_3_c,0.0
PLDAGAT_HDE_HDE_GLNA_PC_7_c,0.0
PLDAGAT_HDE_HDE_LNA_PC_3_c,0.0
PLDAGAT_HDE_HDE_LNA_PC_5_c,0.0
PLDAGAT_HDE_HDE_LNA_PC_7_c,0.0
PLDAGAT_OLE_HDE_HDE_PC_3_c,0.0
PLDAGAT_OLE_HDE_HDE_PC_6_c,0.0
PLDAGAT_HDE_ARA_HDE_PC_3_c,0.0
PLDAGAT_HDE_ARA_HDE_PC_6_c,0.0
PLDAGAT_HDE_EPA_GLNA_PC_3_c,0.0
PLDAGAT_HDE_EPA_GLNA_PC_7_c,0.0
PLDAGAT_HDE_EPA_ARA_PC_3_c,0.0
PLDAGAT_HDE_EPA_ARA_PC_7_c,0.0
PLDAGAT_HDE_EPA_DHA_PC_3_c,0.0
PLDAGAT_HDE_EPA_DHA_PC_6_c,0.0
PLDAGAT_HDE_EPA_LNA_PC_3_c,0.0
