rxn,flux
FACOAL_163_6Z9Z12Z_c,0
G3PDH_c,0.011150103
ETHAK_c,0.00550931
ETHAt_c,0.00550931
PETHMT_c,0.004820647
PETHDMT_c,0.004820647
PETHTMT_c,0.004820647
PCHOLCT_c,0.004820647
MI3PP_c,0
MI3PP_h,0.000826397
MI3PP_m,0
G1PUT_c,0
G1PUT_h,0.016307714
UGP_PGM_c,0.660514926
FCYTOB5OXR_c,-0.033459749
FCYTOB5OXR_m,0
COA181_9Z_9DS_c,0
FACOAL205_c,0.011374768
FACOAL226_c,0.001359491
G3PAT1619Z_c,0.001144835
G3PAT1819Z_c,0
G3PAT2055Z8Z11Z14Z17Z_c,0.009326613
G3PAT2264Z7Z10Z13Z16Z19Z_c,0.000679746
AGPATCOA_HDE_MYRS_c,0
AGPATCOA_HDE_PALM_c,0
AGPATCOA_HDE_HDE_c,0
AGPATCOA_HDE_STC_c,0
AGPATCOA_HDE_OLE_c,0
AGPATCOA_HDE_EPA_c,0
AGPATCOA_HDE_DHA_c,0
AGPATCOA_OLE_MYRS_c,0
AGPATCOA_OLE_PALM_c,0
AGPATCOA_OLE_HDE_c,0
AGPATCOA_OLE_STC_c,0
AGPATCOA_OLE_OLE_c,0
AGPATCOA_OLE_EPA_c,0
AGPATCOA_OLE_DHA_c,0
AGPATCOA_EPA_MYRS_c,0
AGPATCOA_EPA_PALM_c,0
AGPATCOA_EPA_HDE_c,0
AGPATCOA_EPA_STC_c,0
AGPATCOA_EPA_OLE_c,0.004069349
AGPATCOA_EPA_EPA_c,0.000688664
AGPATCOA_EPA_DHA_c,0
AGPATCOA_DHA_MYRS_c,0
AGPATCOA_DHA_PALM_c,0
AGPATCOA_DHA_HDE_c,0
AGPATCOA_DHA_STC_c,0
AGPATCOA_DHA_OLE_c,0
AGPATCOA_DHA_EPA_c,0
AGPATCOA_DHA_DHA_c,0.000679746
PAPA_HDE_PALM_c,0
PAPA_HDE_HDE_c,0
PAPA_HDE_STC_c,0
PAPA_HDE_OLE_c,0
PAPA_HDE_EPA_c,0
PAPA_HDE_DHA_c,0
PAPA_OLE_PALM_c,0
PAPA_OLE_HDE_c,0
PAPA_OLE_STC_c,0
PAPA_OLE_OLE_c,0
PAPA_OLE_EPA_c,0
PAPA_OLE_DHA_c,0
PAPA_EPA_PALM_c,0
PAPA_EPA_HDE_c,0
PAPA_EPA_STC_c,0
PAPA_EPA_OLE_c,0.004069349
PAPA_EPA_EPA_c,0.000688664
PAPA_EPA_DHA_c,0
PAPA_DHA_PALM_c,0
PAPA_DHA_HDE_c,0
PAPA_DHA_STC_c,0
PAPA_DHA_OLE_c,0
PAPA_DHA_EPA_c,0
PAPA_DHA_DHA_c,0.000679746
CHOPT_HDE_PALM_c,0
CHOPT_HDE_HDE_c,0.000143104
CHOPT_HDE_STC_c,0
CHOPT_HDE_OLE_c,0
CHOPT_HDE_EPA_c,0
CHOPT_HDE_DHA_c,0
CHOPT_EPA_PALM_c,0
CHOPT_EPA_HDE_c,0
CHOPT_EPA_STC_c,0
CHOPT_EPA_OLE_c,0.004069349
CHOPT_EPA_EPA_c,0
CHOPT_EPA_DHA_c,0
PCD12DS_HDE_LNA_sn2_c,0.012517422
PCD12DS_EPA_LNA_sn2_c,0.004069349
PCD6DS_HDE_GLNA_sn2_c,0.01115793
PCD6DS_EPA_GLNA_sn2_c,0.004069349
PCW3DS_HDE_ALNA_sn2_c,0.000143104
PCW3DS_EPA_ALNA_sn2_c,0
PCD6DS_HDE_STA_sn2_c,0.000143104
PCD6DS_EPA_STA_sn2_c,0
PCW3DS_HDE_STA_sn2_c,0
PCW3DS_EPA_STA_sn2_c,0
FAC160t_c,0
FAC1819Zt_c,0.015224823
FAC1619Zt_c,0.000216837
FAC180t_c,0.001144835
FAC140t_c,0
FAC2055Z8Z11Z14Z17Zt_c,0
FAC1636Z9Z12Zt_c,0
FAC1646Z9Z12Z15Zt_c,0
FACOAL_184_6Z9Z12Z15Z_c,0
FACOAL_200_c,0
FACOAL_220_c,0
FACOAL_240_c,0
PLA2PC_HDE_STA_c,0
PLA2PC_EPA_STA_c,0
PLA2PC_HDE_GLNA_c,0.01115793
PLA2PC_EPA_GLNA_c,0.004069349
3OAS200_c,0.001144835
3OAR200_c,0.001144835
3HAD200_c,0.001144835
EAR200_c,0.001144835
3OAS220_c,0.001144835
3OAR220_c,0.001144835
3HAD220_c,0.001144835
EAR220_c,0.001144835
3OAS240_c,0.001144835
3OAR240_c,0.001144835
3HAD240_c,0.001144835
EAR240_c,0.001144835
ELO6ETA_c,0
ELO6DGLA_c,0.015227279
LPCAT_HDE_ETA_sn2_c,0
LPCAT_HDE_DGLA_sn2_c,0
LPCAT_EPA_ETA_sn2_c,0
LPCAT_EPA_DGLA_sn2_c,0.015227279
PCW3DS_HDE_ETA_sn2_c,0
PCW3DS_EPA_ETA_sn2_c,0
PCD5DS_HDE_ARA_sn2_c,0
PCD5DS_EPA_ARA_sn2_c,0.015227279
PCD5DS_HDE_EPA_sn2_c,0
PCD5DS_EPA_EPA_sn2_c,0
PCW3DS_HDE_EPA_sn2_c,0
PCW3DS_EPA_EPA_sn2_c,0.015227279
PLA2PC_HDE_EPA_c,0
PLA2PC_EPA_EPA_c,0.011374768
ELO5DPA_c,0.001359491
LPCAT_HDE_DPA_sn2_c,0
LPCAT_EPA_DPA_sn2_c,0.001359491
PCD4DS_HDE_DHA_sn2_c,0
PCD4DS_EPA_DHA_sn2_c,0.001359491
PLDPC_HDE_PALM_c,0
PLDPC_HDE_HDE_c,0
PLDPC_HDE_STC_c,0
PLDPC_HDE_OLE_c,0
PLDPC_HDE_EPA_c,0
PLDPC_HDE_DHA_c,0
PLDPC_EPA_PALM_c,0
PLDPC_EPA_HDE_c,0
PLDPC_EPA_STC_c,0
PLDPC_EPA_OLE_c,0
PLDPC_EPA_EPA_c,0
PLDPC_EPA_DHA_c,0
PLDPC_HDE_LNA_c,0
PLDPC_LNA_LNA_c,0
PLDPC_EPA_LNA_c,0
PLDPC_HDE_GLNA_c,0
PLDPC_EPA_GLNA_c,0
PLDPC_HDE_ALNA_c,0
PLDPC_EPA_ALNA_c,0
PLDPC_HDE_ARA_c,0
PLDPC_EPA_ARA_c,0
PAPA_HDE_LNA_c,0
PAPA_LNA_LNA_c,0.000608193
PAPA_EPA_LNA_c,0
PAPA_HDE_GLNA_c,0
PAPA_EPA_GLNA_c,0
PAPA_HDE_ALNA_c,0
PAPA_EPA_ALNA_c,0
PAPA_HDE_ARA_c,0
PAPA_EPA_ARA_c,0
CDPDAGS_HDE_PALM_c,0.000826397
DAGK_HDE_PALM_c,0.000826397
DAGK_HDE_HDE_c,0
DAGK_HDE_STC_c,0
DAGK_HDE_OLE_c,0
DAGK_HDE_EPA_c,0
DAGK_HDE_DHA_c,0
DAGK_OLE_PALM_c,0
DAGK_OLE_HDE_c,0
DAGK_OLE_STC_c,0
DAGK_OLE_OLE_c,0
DAGK_OLE_EPA_c,0
DAGK_OLE_DHA_c,0
DAGK_EPA_PALM_c,0
DAGK_EPA_HDE_c,0
DAGK_EPA_STC_c,0
DAGK_EPA_OLE_c,0
DAGK_EPA_EPA_c,0
DAGK_EPA_DHA_c,0
DAGK_DHA_PALM_c,0
DAGK_DHA_HDE_c,0
DAGK_DHA_STC_c,0
DAGK_DHA_OLE_c,0
DAGK_DHA_EPA_c,0
DAGK_DHA_DHA_c,0
DAGK_HDE_LNA_c,0
DAGK_LNA_LNA_c,0
DAGK_EPA_LNA_c,0
DAGK_HDE_GLNA_c,0
DAGK_EPA_GLNA_c,0
DAGK_HDE_ALNA_c,0
DAGK_EPA_ALNA_c,0
DAGK_HDE_ARA_c,0
DAGK_EPA_ARA_c,0
ETHAPT_EPA_EPA_c,0.000688664
CDIPT_HDE_PALM_c,0.000826397
CHOLt_m,0
CHOLK_m,0
PCHOLt_m,0
PIP4K_HDE_PALM_c,0
PIP3K_HDE_PALM_c,0
PIP3P_HDE_PALM_c,0
IPMK_c,0
IP52K_c,0
PLDPE_EPA_EPA_c,0
FACOAL_204_5Z8Z11Z14Z_c,0
PLA2PC_HDE_PALM_c,0
PLA2PC_HDE_HDE_c,0.000143104
PLA2PC_HDE_STC_c,0
PLA2PC_HDE_OLE_c,0
PLA2PC_HDE_DHA_c,0
PLA2PC_EPA_PALM_c,0
PLA2PC_EPA_HDE_c,0
PLA2PC_EPA_STC_c,0
PLA2PC_EPA_OLE_c,0
PLA2PC_EPA_DHA_c,0.001359491
PLA2PC_HDE_LNA_c,0.001216387
PLA2PC_LNA_LNA_c,0
PLA2PC_EPA_LNA_c,0
PLA2PC_HDE_ALNA_c,0
PLA2PC_EPA_ALNA_c,0
PLA2PC_HDE_ARA_c,0
PLA2PC_EPA_ARA_c,0
PLA2PE_EPA_EPA_c,0
LPCAT_HDE_PALM_sn2_c,0
LPCAT_HDE_HDE_sn2_c,0
LPCAT_HDE_STC_sn2_c,0
LPCAT_HDE_OLE_sn2_c,0.012517422
LPCAT_HDE_LNA_sn2_c,0
LPCAT_HDE_ALNA_sn2_c,0
LPCAT_HDE_GLNA_sn2_c,0
LPCAT_HDE_EPA_sn2_c,0
LPCAT_HDE_DHA_sn2_c,0
LPCAT_HDE_ARA_sn2_c,0
LPCAT_LNA_LNA_sn2_c,0
LPCAT_EPA_PALM_sn2_c,0
LPCAT_EPA_HDE_sn2_c,0
LPCAT_EPA_STC_sn2_c,0
LPCAT_EPA_OLE_sn2_c,0
LPCAT_EPA_LNA_sn2_c,0
LPCAT_EPA_ALNA_sn2_c,0
LPCAT_EPA_GLNA_sn2_c,0
LPCAT_EPA_EPA_sn2_c,0
LPCAT_EPA_DHA_sn2_c,0
LPCAT_EPA_ARA_sn2_c,0
LPEAT_EPA_EPA_sn2_c,0
LPCH1619Z_sn1_c,0
LPCH1829Z12Z_sn1_c,0
LPCH2055Z8Z11Z14Z17Z_sn1_c,0
LPEH2055Z8Z11Z14Z17Z_sn1_c,0
GPCGPH_c,0
GPEGPH_c,0
ACOADAGAT_HDE_ARA_ARA_c,0
ACOADAGAT_OLE_HDE_OLE_c,0
ACOADAGAT_OLE_PALM_PALM_c,0
ACOADAGAT_DHA_EPA_ARA_c,0
ACOADAGAT_DHA_EPA_DHA_c,0
ACOADAGAT_OLE_EPA_DHA_c,0
ACOADAGAT_HDE_PALM_LNA_c,0
ACOADAGAT_OLE_PALM_HDE_c,0
ACOADAGAT_HDE_ARA_PALM_c,0
ACOADAGAT_HDE_HDE_GLNA_c,0
ACOADAGAT_HDE_HDE_LNA_c,0
ACOADAGAT_OLE_HDE_HDE_c,0
ACOADAGAT_HDE_ARA_HDE_c,0
ACOADAGAT_HDE_EPA_GLNA_c,0
ACOADAGAT_HDE_EPA_ARA_c,0
ACOADAGAT_HDE_EPA_DHA_c,0
ACOADAGAT_HDE_EPA_LNA_c,0
ACOADAGAT_HDE_EPA_OLE_c,0
ACOADAGAT_EPA_EPA_LNA_c,0
ACOADAGAT_EPA_EPA_GLNA_c,0
ACOADAGAT_EPA_EPA_DHA_c,0
ACOADAGAT_OLE_EPA_EPA_c,0
ACOADAGAT_HDE_EPA_PALM_c,0
ACOADAGAT_EPA_EPA_PALM_c,0
ACOADAGAT_HDE_EPA_HDE_c,0
ACOADAGAT_HDE_HDE_HDE_c,0
ACOADAGAT_HDE_EPA_EPA_c,0
ACOADAGAT_EPA_EPA_ARA_c,0
ACOADAGAT_EPA_EPA_EPA_c,0
PLDAGAT_HDE_ARA_ARA_PC_3_c,0
PLDAGAT_HDE_ARA_ARA_PC_7_c,0
PLDAGAT_OLE_HDE_OLE_PC_3_c,0
PLDAGAT_OLE_HDE_OLE_PC_6_c,0
PLDAGAT_OLE_PALM_PALM_PC_3_c,0
PLDAGAT_OLE_PALM_PALM_PC_6_c,0
PLDAGAT_DHA_EPA_ARA_PC_3_c,0
PLDAGAT_DHA_EPA_ARA_PC_7_c,0
PLDAGAT_DHA_EPA_DHA_PC_3_c,0
PLDAGAT_DHA_EPA_DHA_PC_6_c,0
PLDAGAT_OLE_EPA_DHA_PC_3_c,0
PLDAGAT_OLE_EPA_DHA_PC_6_c,0
PLDAGAT_HDE_PALM_LNA_PC_3_c,0
PLDAGAT_HDE_PALM_LNA_PC_5_c,0
PLDAGAT_HDE_PALM_LNA_PC_7_c,0
PLDAGAT_OLE_PALM_HDE_PC_3_c,0
PLDAGAT_OLE_PALM_HDE_PC_6_c,0
PLDAGAT_HDE_ARA_PALM_PC_3_c,0
PLDAGAT_HDE_ARA_PALM_PC_6_c,0
PLDAGAT_HDE_HDE_GLNA_PC_3_c,0
PLDAGAT_HDE_HDE_GLNA_PC_7_c,0
PLDAGAT_HDE_HDE_LNA_PC_3_c,0
PLDAGAT_HDE_HDE_LNA_PC_5_c,0
PLDAGAT_HDE_HDE_LNA_PC_7_c,0
PLDAGAT_OLE_HDE_HDE_PC_3_c,0
PLDAGAT_OLE_HDE_HDE_PC_6_c,0
PLDAGAT_HDE_ARA_HDE_PC_3_c,0
PLDAGAT_HDE_ARA_HDE_PC_6_c,0
PLDAGAT_HDE_EPA_GLNA_PC_3_c,0
PLDAGAT_HDE_EPA_GLNA_PC_7_c,0
PLDAGAT_HDE_EPA_ARA_PC_3_c,0
PLDAGAT_HDE_EPA_ARA_PC_7_c,0
PLDAGAT_HDE_EPA_DHA_PC_3_c,0
PLDAGAT_HDE_EPA_DHA_PC_6_c,0
PLDAGAT_HDE_EPA_LNA_PC_3_c,0
PLDAGAT_HDE_EPA_LNA_PC_5_c,0
PLDAGAT_HDE_EPA_LNA_PC_7_c,0
PLDAGAT_HDE_EPA_OLE_PC_3_c,0
PLDAGAT_HDE_EPA_OLE_PC_6_c,0
PLDAGAT_EPA_EPA_LNA_PC_3_c,0
PLDAGAT_EPA_EPA_LNA_PC_5_c,0
PLDAGAT_EPA_EPA_LNA_PC_7_c,0
PLDAGAT_EPA_EPA_GLNA_PC_3_c,0
PLDAGAT_EPA_EPA_GLNA_PC_7_c,0
PLDAGAT_EPA_EPA_DHA_PC_3_c,0
PLDAGAT_EPA_EPA_DHA_PC_6_c,0
PLDAGAT_OLE_EPA_EPA_PC_3_c,0
PLDAGAT_OLE_EPA_EPA_PC_6_c,0
PLDAGAT_OLE_EPA_EPA_PE_14_c,0
PLDAGAT_HDE_EPA_PALM_PC_3_c,0
PLDAGAT_HDE_EPA_PALM_PC_6_c,0
PLDAGAT_EPA_EPA_PALM_PC_3_c,0
PLDAGAT_EPA_EPA_PALM_PC_6_c,0
PLDAGAT_HDE_EPA_HDE_PC_3_c,0
PLDAGAT_HDE_EPA_HDE_PC_6_c,0
PLDAGAT_HDE_HDE_HDE_PC_3_c,0
PLDAGAT_HDE_HDE_HDE_PC_6_c,0
PLDAGAT_HDE_EPA_EPA_PC_3_c,0
PLDAGAT_HDE_EPA_EPA_PC_6_c,0
PLDAGAT_HDE_EPA_EPA_PE_14_c,0
PLDAGAT_EPA_EPA_ARA_PC_3_c,0
PLDAGAT_EPA_EPA_ARA_PC_7_c,0
PLDAGAT_EPA_EPA_EPA_PC_3_c,0
PLDAGAT_EPA_EPA_EPA_PC_6_c,0
PLDAGAT_EPA_EPA_EPA_PE_14_c,0
TAGAH_HDE_ARA_ARA_c,0
TAGAH_OLE_HDE_OLE_c,0
TAGAH_OLE_PALM_PALM_c,0
TAGAH_DHA_EPA_ARA_c,0
TAGAH_DHA_EPA_DHA_c,0
TAGAH_OLE_EPA_DHA_c,0
TAGAH_HDE_PALM_LNA_c,0
TAGAH_OLE_PALM_HDE_c,0
TAGAH_HDE_ARA_PALM_c,0
TAGAH_HDE_HDE_GLNA_c,0
TAGAH_HDE_HDE_LNA_c,0
TAGAH_OLE_HDE_HDE_c,0
TAGAH_HDE_ARA_HDE_c,0
TAGAH_HDE_EPA_GLNA_c,0
TAGAH_HDE_EPA_ARA_c,0
TAGAH_HDE_EPA_DHA_c,0
TAGAH_HDE_EPA_LNA_c,0
TAGAH_HDE_EPA_OLE_c,0
TAGAH_EPA_EPA_LNA_c,0
TAGAH_EPA_EPA_GLNA_c,0
TAGAH_EPA_EPA_DHA_c,0
TAGAH_OLE_EPA_EPA_c,0
TAGAH_HDE_EPA_PALM_c,0
TAGAH_EPA_EPA_PALM_c,0
TAGAH_HDE_EPA_HDE_c,0
TAGAH_HDE_HDE_HDE_c,0
TAGAH_HDE_EPA_EPA_c,0
TAGAH_EPA_EPA_ARA_c,0
